她	tan
趣	qut
二	era
壬	rfp
右	yzu
时	uio
础	iuu
噢	ook
醅	pwy
吖	aak
鸽	ger
盉	heh
玖	jqw
渴	ked
崽	zdu
孝	xnl
丛	csr
遮	vez
叭	bak
倪	nir
嘛	mak
肮	aho
袄	aop
扒	baf
宝	bcb
栟	bfm
泵	bgu
邦	bhf
毕	bib
病	bkb
摽	bnf
泊	bod
卑	bwp
曹	ccc
苍	chc
瓷	cid
惭	cjx
锉	coj
存	cyu
德	der
党	dhx
堤	dit
儋	djr
疔	dkb
簟	dmv
鲷	dny
惰	dox
迭	dpz
恫	dsx
蠹	dug
怼	dvy
囤	dyk
锋	fgj
邡	fhf
篚	fwv
膏	gcw
盖	gdy
冈	ghk
玕	gjw
官	grb
骨	gug
簋	gvv
钩	gzj
孩	hdz
盒	her
桁	hgm
颔	hjr
荒	hlc
惑	hog
擐	hrf
纮	hss
祜	hup
徽	hvr
浑	hyd
厚	hzi
叉	iay
珵	igw
嗤	iik
颤	ijw
惙	iox
涌	isd
琡	iuw
圌	ivk
近	jbz
及	jip
奖	jll
检	jmm
嚼	jnk
揭	jpf
九	jqp
镌	jrj
冏	jsk
惧	jux
架	jxl
畯	jyt
犒	kcn
磕	keu
扛	khf
砍	kju
𫛭	klq
括	kof
圐	kuk
揦	laf
檩	lbm
耢	lcl
坜	lit
领	lkr
晾	llo
络	los
烈	lpd
溜	lqd
鹭	luz
檑	lwm
娄	lzm
嘛	mak
贸	mcp
檬	mgm
密	mib
万	moa
湄	mwd
哪	nek
昵	nio
嬢	nln
袅	nnn
弩	nun
噢	ook
鸥	ouq
贫	pbf
排	pdf
抨	pgf
披	pif
爿	pjv
飘	pnx
酺	puy
期	qic
鲭	qky
骞	qmb
佺	qrr
穹	qsb
曲	quk
忍	rfr
瓤	rhy
# 爇	roc
冗	rsb
嬬	run
搔	scf
塞	sdb
涩	sed
泗	sid
蔌	suc
碎	svu
飕	szf
淘	tcd
汰	tdd
替	tif
谭	tjy
托	tof
嗵	tsk
吐	tuk
嗄	uak
沈	ufd
升	ugp
食	uir
苫	ujc
霜	uly
疏	uuv
艏	uzv
招	vcf
谪	vey
砧	vfu
吱	vik
状	vll
卓	vob
珠	vuw
咒	vzk
闻	wfm
瓮	wgg
挝	wof
五	wua
辛	xbl
夕	xip
相	xlm
嫌	xmn
箫	xnv
休	xqr
凶	xsk
削	xtx
许	xuy
讯	xyy
吖	yak
吟	ybk
爻	ycx
杨	yhm
咦	yik
腌	yjo
鹰	ykg
唷	yok
咏	ysk
竽	yuv
繇	yzv
咂	zak
兹	zib
酂	zjn
作	zor
宗	zsb

唉	aikuo
碍	aiuco
砹	aiuxo
毐	aitmo
嗳	aikyo
蔼	aicro
霭	aiyro
嗌	aikmo
叆	aiyyo
皑	aibjo
案	anbmo
胺	anono
鞍	angno
盦	anrmo
垵	antno
犴	anqgo
𩽾	anyno
敖	aofwo
鳌	aofyo
螯	aofio
拗	aoflo
獒	aofqo
鏊	aofjo
鏖	aoljo
骜	aofmo
聱	aofeo
奡	aoblo
嶅	aofuo
拔	bafyo
爸	bafbo
巴	baslo
捌	bafdo
