一模一样	ymyy
勾心斗角	gxdj
厚积薄发	hjbf
嚎啕大哭	htdk
装模作样	zmzy
烂熟于心	lsyx
得意洋洋	dyyy
华夏文明	hxwm
向死而生	xses
略知一二	lzye
攻城略地	gcld
雄才大略	xcdl
略逊一筹	lxyc
含糊其辞	hhqc
助纣为虐	zzwn
指望不上	zwbs
毫无章法	hwzf
嫉恶如仇	jerc
洋洋自得	yyzd
自我膨胀	zwpz
臭不要脸	cbyl
扛鼎之作	kdzz
小火慢炖	xhmd
归根究底	ggjd
对不上号	dbsh
浮光掠影	fgly
见色起意	jsqy
是以圣人	sysr
不可预见	bkyj
茫茫宇宙	mmyz
既见君子	jjjz
难以招架	nyzj
求生本能	qsbn
口舌之快	kszk
姓甚名谁	xsms
野有蔓草	yymc
生存本能	scbn
寂寂无名	jjwm
功不唐捐	gbtj
刻薄寡恩	kbge
可趁之机	kczj
酿成大祸	ncdh
一时瑜亮	ysyl
不敢吭声	bgks
七窍流血	qqlx
文韬武略	wtwl
削铁如泥	xtrn
一条手臂	ytsb
圣人之道	srzd
轻徭薄赋	qybf
有美一人	ymyr
不亦说乎	byyh
暮色森林	mssl
慢性毒药	mxdy
在江湖中	zjhz
以小搏大	yxbd
薄情寡义	bqgy
军团要塞	jtys
奸淫掳掠	jyll
诘屈聱牙	jqay
谁主沉浮	szcf
残阳如血	cyrx
白毫银针	bhyz
剑刃风暴	jrfb
互相照应	hxzy
不知其所	bzqs
全须全尾	qxqw
乍暖还寒	znhh
上士闻道	sswd
落人口实	lrks
君子之道	jzzd
有匪君子	yfjz
慈不掌兵	cbzb
意气之争	yqzz
不幸牺牲	bxxs
栋梁之才	dlzc
一人承担	yrcd
砖家叫兽	zjjs
自我推销	zwtx
雄伟壮丽	xwzl
一日之内	yrzn
当垫脚石	ddjs
划清界线	hqjx
静女其姝	jnqs
女曰鸡鸣	nyjm
心之忧矣	xzyy
矜矜业业	jjyy
时光之穴	sgzx
下士闻道	xswd
扭曲虚空	nqxk
但远山长	dysc
未之有也	wzyy
脑部损伤	nbss
非常之观	fczg
匈奴未灭	xnwm
一天半天	ytbt
简洁优美	jjym
悠悠苍天	yyct
中士闻道	zswd
钢铁意志	gtyz
野有死麕	yysq
怪模怪样	gmgy
赐之彘肩	czzj
为道日损	wdrs
为天下式	wtxs
耳根子软	egzr
千针石林	qzsl
取之无禁	qzwj
多如繁星	drfx
空旷无人	kkwr
不可求思	bkqs
而闻者彰	ewzz
屈原放逐	qyfz
大声吆喝	dsyh
火烧屁股	hspg
器宇轩昂	qyxa
山岭巨人	sljr
噱头十足	xtsz
不可方思	bkfs
此之谓也	czwy
汉有游女	hyyn
汉之广矣	hzgy
江之永矣	jzyy
对薄公堂	dbgt
略高一筹	lgyc
所见略同	sjlt
寄黄几复	jhjf
求我庶士	qwss
时运不齐	sybq
不顾生死	bgss
寒毛直竖	hmzs
互相怀疑	hxhy
见此良人	jclr
坚决抵抗	jjdk
琴瑟在御	qszy
世俗之人	sszr
我心伤悲	wxsb
贻我彤管	ywtg
执者失之	zzsz
婊子无情	bzwq
好酒好肉	hjhr
略知皮毛	lzpm
吐气如兰	tqrl
古之所谓	gzsw
君臣之义	jczy
莫不静好	mbjh
彤管有炜	tgyw
洵美且异	xmqy
不得其酱	bdqj
不思其反	bsqf
反是不思	fsbs
人在楼上	rzls
孙子膑脚	szbj
婉如清扬	wrqy
未见君子	wjjz
亦已焉哉	yyyz
周虽旧邦	zsjb
剥丝抽茧	bscj
剥皮抽筋	bpcj
公正审判	gzsp
浑然忘我	hrww
振振有辞	zzyc
君臣一梦	jcym
美人之贻	mrzy
人之所恶	rzse
说怿女美	synm
瞻彼淇奥	zbqa
自牧归荑	zmgy
总角之宴	zjzy
火候不到	hhbd
静谧无声	jmws
凭空杜撰	pkdz
彼黍离离	bsll
江水为竭	jswj
今古空名	jgkm
骐骥一跃	qjyy
十分寒冷	sfhl
云谁之思	yszs
半生潦倒	bsld
备战备荒	bzbh
不屈意志	bqyz
春风和煦	cfhx
剑气纵横	jqzh
戮力同心	lltx
名声赫赫	mshh
十分悲惨	sfbc
不可转也	bkzy
大而无用	dewy
而见者远	ejzy
韩非囚秦	hfqq
教授所著	jssz
假舆马者	jymz
绝巧弃利	jqql
氓之蚩蚩	mzcc
维子之故	wzzg
物或恶之	whez
颜如舜华	yrsh
有狐绥绥	yhss
与子偕臧	yzxz
元和十年	yhsn
暴风要塞	bfys
彼泽之陂	bzzb
不知世事	bzss
而绝江河	ejjh
而致千里	ezql
非利足也	flzy
非能水也	fnsy
假舟楫者	jzjz
尽吾志也	jwzy
譬如北辰	prbc
翘翘错薪	qqcx
锲而舍之	qesz
顷在黄州	qzhz
人之所畏	rzsw
手脑并用	snby
身为天子	swtz
圣人不仁	srbr
士也罔极	sywj
为者败之	wzbz
无与士耽	wysd
咥其笑矣	xqxy
兄弟不知	xdbz
宰割天下	zgtx
致君尧舜	zjys
翻然悔悟	frhw
自诸侯出	zzhc
蔽芾甘棠	bfgt
此何人哉	chrz
大道甚夷	ddsy
伐木丁丁	fmdd
公孙丑上	gscs
还军霸上	hjbs
民利百倍	mlbb
七言古诗	qygs
为人臣者	wrcz
吾心甚慰	wxsw
熙宁三年	xnsn
行藏在我	xczw
一江春水	yjcs
有女如玉	ynry
有罪无罪	yzwz
暴虐无道	bnwd
出头露面	ctlm
开阔思维	kksw
来如风雨	lrfy
鬼点子多	gdzd
彼其之子	bqzz
必有凶年	byxn
臣战河南	czhn
光而不耀	geby
几声凄厉	jsql
吉士诱之	jsyz
其用不穷	qybq
桑之未落	szwl
斯不善已	sbsy
生而弗有	sefy
天地相合	tdxh
为天下溪	wtxx
为吾有身	wwys
无食桑葚	wsss
行道迟迟	xdcc
一叶舟轻	yyzq
与子同裳	yzts
月色入户	ysrh
赠孟浩然	zmhr
自大夫出	zdfc
赫赫声名	hhsm
化作泡影	hzpy
魁梧奇伟	kwqw
去似微尘	qswc
见素抱朴	xsbp
铸剑大师	zjds
白茅纯束	bmcs
不道早已	bdzy
盗贼无有	dzwy
复归其明	fgqm
夫物芸芸	fwyy
将子无怒	jzwn
举酒属客	jjsk
君子偕老	jzxl
浪淘沙令	ltsl
民复孝慈	mfxc
莫知其极	mzqj
莫知我哀	mzwa
其叶沃若	qywr
其叶蓁蓁	qyzz
日益骄固	ryjg
手之舞之	szwz
滕文公下	twgx
魏武挥鞭	wwhb
无食我黍	wsws
燕婉之求	ywzq
用舍由时	ysys
余独不觉	ydbj
必有所成	bysc
不分好歹	bfhd
怪腔怪调	gqgt
海天一线	htyx
毫无声息	hwsx
明白晓畅	mbxc
男女之别	nnzb
起承转结	qczj
恰逢其会	qfqh
惟利是图	wlst
惟命是从	wmsc
洗净铅华	xjqh
诸侯并起	zhbq
彼稷之苗	bjzm
不分贫富	bfpf
不可得而	bkde
不可卷也	bkjy
苍山如海	csrh
重重似画	ccsh
当是时也	dssy
道心惟微	dxww
德音不忘	dybw
而民自正	emzz
而民自化	emzh
泛彼柏舟	fbbz
分裂山河	flsh
复归于朴	fgyp
躬自悼矣	gzdy
衡门之下	hmzx
及尔偕老	jexl
艰苦斗争	jkdz
老使我怨	lswy
鹭点烟汀	ldyt
名亦既有	myjy
莫我肯顾	mwkg
曲曲如屏	qqrp
人能弘道	rnhd
圣人不死	srbs
三五七言	swqy
深不可识	sbks
使民不争	smbz
是谓玄德	swxd
始制有名	szym
双桨鸿惊	sjhj
死则同穴	sztx
滕文公上	twgs
天下已定	txyd
同于德者	tydz
往而不害	webh
为而弗恃	wefs
维士与女	wsyn
揾英雄泪	wyxl
我心匪席	wxfx
寤寐无为	wmww
小知间间	xzjj
仰天而叹	ytet
亦既觏止	yjgz
由是观之	ysgz
影湛波平	yzbp
有国之母	ygzm
鱼翻藻鉴	yfzj
予美亡此	ymwc
玉水明沙	ysms
陟彼南山	zbns
执古之道	zgzd
至于暴矣	zyby
子无良媒	zwlm
子夜吴歌	zywg
暴病身亡	bbsw
北部海岸	bbha
不通世故	btsg
大事不成	dsbc
鼓盆而歌	gpeg
虎豹豺狼	hbcl
辉煌光环	hhgh
君无戏言	jwxy
难以驯服	nyxf
蓬莱弱水	plrs
神色不变	ssbb
五陵少年	wlsn
相忘江湖	xwjh
自损三千	zssq
不可为也	bkwy
长而不宰	cebz
出自东方	czdf
大盗不止	ddbz
风乎舞雩	fhwy
公孙丑下	gscx
化而欲作	heyz
几行陈迹	jhcj
既见复关	jjfg
几声抽泣	jscq
皎皎白驹	jjbj
可怜焦土	kljt
旅夜书怀	lysh
民之难治	mznz
没身不殆	msbd
女也不爽	nybs
佩玉琼琚	pyqj
淇则有岸	qzya
三岁贯女	ssgn
桑之落矣	szly
俗人昭昭	srzz
神人无功	srwg
酾酒临江	sjlj
是谓玄牝	swxp
是以有德	syyd
未可知也	wkzy
威振四海	wzsh
小小寰球	xxhq
洵美且都	xmqd
夜归临皋	yglg
有不信焉	ybxy
以尔车来	yecl
以我贿迁	ywhq
云溪友议	yxyy
以乡观乡	yxgx
则游者众	zyzz
则至者少	zzzs
斩木为兵	zmwb
子见南子	zjnz
大宛列传	dwlz
交易频道	jypd
久立伤骨	jlsg
乱邦不居	lbbj
貌比潘安	mbpa
你争我斗	nzwd
七拐八弯	qgbw
清新隽永	qxjy
趋之如骛	qzrw
三口两口	sklk
舌战群雄	szqx
忐忐忑忑	tttt
心灵震爆	xlzb
会唱会跳	hcht
一推就倒	ytjd
白茅包之	bmbz
百万之师	bwzs
保此道者	bcdz
比于赤子	bycz
不见而明	bjem
不可得也	bkdy
不在颛臾	bzzy
采薇采薇	cwcw
春光融融	cgrr
笃于时也	dysy
定之方中	dzfz
迩之事父	ezsf
废嫡立庶	fdls
风雨潇潇	fyxx
故能长生	gncs
含德之厚	hdzh
和之至也	hzzy
寂寂无声	jjws
加彘肩上	jzjs
渐车帷裳	jcws
聚之咸阳	jzxy
将欲废之	jyfz
荆棘生焉	jjsy
孔德之容	kdzr
邻国相望	lgxw
靡室劳矣	msly
靡有朝矣	mycy
民之从事	mzcs
明月直入	myzr
佩玉将将	pyjj
其故何也	qghy
其黄而陨	qhey
淇水汤汤	qsss
泣涕涟涟	qtll
如在昨日	rzzr
三岁食贫	sssp
三岁为妇	sswf
圣人无名	srwm
是以无德	sywd
唐虞之际	tyzj
天下之水	txzs
同于失者	tysz
王事靡盬	wsmg
为君之道	wjzd
为天下谷	wtxg
我思古人	wsgr
无心可猜	wxkc
无以异也	wyyy
隰则有泮	xzyp
象帝之先	xdzx
信不足焉	xbzy
言秣其马	ymqm
颜色不变	ysbb
言刈其楚	yyqc
言刈其蒌	yyql
杨花似雪	yhsx
已而遂晴	yesq
以奇用兵	yqyb
宜言饮酒	yyyj
有女同行	ynth
雨晴烟晚	yqyw
远之事君	yzsj
载渴载饥	zkzj
直而不肆	zebs
治人事天	zrst
终身不勤	zsbq
终鲜兄弟	zxxd
忠信之薄	zxzb
自以为得	zywd
本地防务	bdfw
尘泥沼泽	cnzz
澄清天下	cqtx
风流往事	flws
久坐伤肉	jzsr
碌碌之辈	llzb
内外之分	nwzf
破碎残阳	pscy
抢劫一空	qjyk
清明在躬	qmzg
时移势易	sysy
五行八作	whbz
